pergunta,resposta_esperada,resposta_modelo_treinado,resposta_modelo_base,rougeL_base,bleu_base,equal_base,rougeL_ft,bleu_ft,equal_ft
Tell me about Eptinezumab's metabolism mechanism.,Monoclonal antibody agents like eptinezumab are not expected to generate toxic metabolites as they generally undergo proteolysis to their constituent amino acids.[F94],Monoclonal antibodies are expected to be metabolized to smaller proteins and peptides by proteolytic enzymes.[A40006],"Eptinezumab is a monoclonal antibody that binds to the CGRP receptor and blocks the binding of CGRP to its receptor. This prevents the release of vasodilatory and pro-inflammatory mediators, including prostaglandins, leukotrienes, and cytokines, which are involved in the pathophysiology of migraine. Eptinezumab is administered as a subcutaneous injection and has a half-life of approximately 2 weeks.",0.0975609756097561,0.008124508692308446,0,0.30769230769230765,0.03050047663202996,0
What happens during the absorption of Isosorbide?,Isosorbide is rapidly absorbed after oral administration.[L34064] Refer to [isosorbide mononitrate] for detailed absorption information.,Isosorbide is rapidly absorbed from the gastrointestinal tract.,The absorption of Is,0.1,0.003901723237102224,0,0.3333333333333333,0.14411786453067818,0
What is the absorption process of Rofecoxib?,"The mean oral bioavailability of rofecoxib at therapeutically recommended doses of 12.5, 25, and 50 mg is approximately 93%.","Rofecoxib is rapidly absorbed following oral administration. The absolute bioavailability of rofecoxib is unknown. Peak plasma concentrations are attained 2 to 3 hours after dosing, and steady state is achieved within 5 to 6 days.",The absorption process of Rofecoxib is the process of the drug being absorbed into the body. The drug is taken orally and is absorbed through the stomach and small intestine. The drug is then transported to the liver where it is metabolized and excreted,0.18749999999999997,0.010097435863652391,0,0.2545454545454545,0.04461180754093855,0
What is the absorption of Levodopa like?,"Orally inhaled levodopa reaches a peak concentration in 0.5 hours with a bioavailability than is 70% that of the immediate release levodopa tablets with a peripheral dopa decarboxylase inhibitor like carbidopa or benserazide[Label,A177781].",Levodopa is rapidly absorbed from the gastrointestinal tract. The bioavailability of levodopa is 25-50%.[A229831] The Cmax of levodopa is 1.33-2.8 mg/L and is reached after 50-90 minutes.[A229831],"The absorption of Levodopa is like a roller coaster ride. It starts off slow and steady, but then it picks up speed and becomes more intense. The ride is thrilling and exciting, but it can also be a little bit scary.",0.1038961038961039,0.010712501202976362,0,0.14084507042253522,0.0127235300785,0
How does the body process Hexylresorcinol metabolically?,"Regarding the metabolism of hexylresorcinol, it has been reported that excretion of the compound in the urine is largely in the form of an ethereal sulfate conjugate [L2739].",No information regarding metabolism of hexylresorcinol is available.,Hexylresorcinol is metabolized by the body by conjugation with glucuronic acid.,0.2051282051282051,0.005476385151940432,0,0.2777777777777778,0.006470422614424571,0
What is the metabolism of Amiloxate like?,No pharmacokinetic data available.,No pharmacokinetic data available.,Amiloxate is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug that is used to treat diabetes. It is a drug,0.0,0.0,0,1.0,1.0,1
How does the body process Betula pendula tar oil metabolically?,This pharmacokinetic property has not been studied.,"For local use only, no systemic absorption.","Betula pendula tar oil is metabolized by the body through the process of oxidation. This process involves the breaking down of the oil into smaller molecules, which are then used by the body for energy production. The oxidation process is carried out by enzymes in the liver, which convert the oil into smaller molecules that can be used by the body. The resulting molecules are then transported to the cells, where they are used for energy production. The oxidation process is an important part of the body's metabolism, as it allows the body to use the oil for energy production.",0.018518518518518517,0.003374842544816245,0,0.0,0.0,0
Describe the absorption characteristics of Remoxipride.,"Remoxipride is approximately 90% bioavailable.[A215502] In patients with normal creatinine clearance, remoxipride reaches a C<sub>max</sub> of 5.5 ± 1.1 µmol/L, with a T<sub>max</sub> of 0.8 ± 0.2 h, and an AUC of 39 ± 9 µmol\*h/L.[A215502] In patients with moderate renal impairment, remoxipride reaches a C<sub>max</sub> of 7.7 ± 2.7 µmol/L, with a T<sub>max</sub> of 0.9 ± 0.4 h, and an AUC of 63 ± 34 µmol\*h/L.[A215502] In patients with severe renal impairment, remoxipride reaches a C<sub>max</sub> of 9.3 ± 2.3 µmol/L, with a T<sub>max</sub> of 1.4 ± 0.9 h, and an AUC of 123 ± 60 µmol\*h/L.[A215502]",Remoxipride is rapidly absorbed after oral administration with a bioavailability of 90%.[A215072] Remoxipride reaches a C<sub>max</sub> of 4.1mg/L with a T<sub>max</sub> of 0.5h.[A215072],Remoxipride is a dopamine D2 receptor antagonist. It is used in the treatment of schizophrenia. It is a potent dopamine D2 receptor antagonist. It is also a potent dopamine D3 receptor antagonist. It is also a potent dopamine D4 receptor antagonist. It is also a potent dopamine D5 receptor antagonist. It is also a potent dopamine D6 receptor antagonist. It is also a potent dopamine D7 receptor antagonist. It is also a potent dopamine D8 receptor antagonist. It is also a potent dopamine D9 receptor antagonist. It is also a potent dopamine D10 receptor antagonist. It is also a potent dopamine D11 receptor,0.07659574468085105,0.009769573576500816,0,0.27710843373493976,0.00959407747904833,0
What is the absorption process of Sennosides?,<10% is absorbed from the gut mostly in the form of the active metabolite rheinanthrone [DB13175][L771].,"Sennosides A and B are the main active ingredients of senna [L772]. They are rapidly absorbed from the gastrointestinal tract and reach a maximum plasma concentration within 2.5 hours [A33022]. The hydrolysis of sennosides A and B occurs mainly in the cecum and colon where they are converted to sennidins A and B, respectively [A33022]. Sennidins A and B are then absorbed and transported to the liver via the portal vein where they are further metabolized [A33022].",The absorption process of Sennosides is the process of absorbing the active ingredients of the drug into the blood stream. The active ingredients of the drug are the active ingredients that are responsible for the drug's therapeutic effect. The absorption process of Sennosides is the process of absorbing the active ingredients of the drug into the blood stream. The active ingredients of the drug are the active ingredients that are responsible for the drug's therapeutic effect. The absorption process of Sennosides is the process of absorbing the active ingredients of the drug into the blood stream. The active ingredients of the drug are the active ingredients that are responsible for the drug,0.10687022900763359,0.009729705478061765,0,0.12631578947368421,0.02380241791084471,0
What happens during the metabolism of Remoxipride?,"Remoxipride can be N-dealkylated to FLA 853, oxidized to FLA 850, or N-deethylated to FLA 838.[A215417,A215502] FLA 838 can be oxidized to NCL 118 which is further hydroxylated to NCM 009.[A215417,A215502] FLA 850 can be N-deethylated to NCL 118 or hydroxylated to NCM 001.[A215417,A215502] NCM 001 is further N-deethylated to NCM 009.[A215417,A215502] None of these metabolites have measurable activity on dopamine D<sub>2</sub> receptors.[A215502]","Remoxipride is metabolized to two inactive metabolites, desmethyl remoxipride and hydroxymethyl remoxipride, by CYP1A2, CYP2D6, and CYP3A4.[A215721,A215726,A215731,L31838]",Remoxipride is a drug that is used to treat schizophrenia. It is a dopamine antagonist that works by blocking the effects of dopamine in the brain. Remoxipride is metabolized by the liver and excreted in the urine. The metabolism of Remoxipride is a complex process that involves several enzymes. The first step in the metabolism of Remoxipride is the hydrolysis of the ester group. This is followed by the oxidation of the alcohol group to form an aldehyde. The aldehyde is then further oxidized to form a carboxylic acid. The carboxylic acid is then,0.09248554913294797,0.010897276076343347,0,0.08,0.0013133196783210591,0
